,Unnamed: 0,CASE_NUMBER,CASE_STATUS,CASE_RECEIVED_DATE,DECISION_DATE,EMPLOYER_NAME,PREVAILING_WAGE_SUBMITTED,PREVAILING_WAGE_SUBMITTED_UNIT,PAID_WAGE_SUBMITTED,PAID_WAGE_SUBMITTED_UNIT,JOB_TITLE,WORK_CITY,EDUCATION_LEVEL_REQUIRED,COLLEGE_MAJOR_REQUIRED,EXPERIENCE_REQUIRED_Y_N,EXPERIENCE_REQUIRED_NUM_MONTHS,COUNTRY_OF_CITIZENSHIP,PREVAILING_WAGE_SOC_CODE,PREVAILING_WAGE_SOC_TITLE,WORK_STATE,WORK_STATE_ABBREVIATION,WORK_POSTAL_CODE,FULL_TIME_POSITION_Y_N,VISA_CLASS,PREVAILING_WAGE_PER_YEAR,PAID_WAGE_PER_YEAR,JOB_TITLE_SUBGROUP,order,QOL_Poor,QOL_Average,QOL_High,QOL
10,20,I-200-15048-564380,certified,2/18/2015,2/24/2015,SKYHIGH NETWORKS INC,148803.0,year,148803.0,year,"SR. SOFTWARE ENGINEER, BIG DATA",CAMPBELL,,,,,,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",California,CA,95008,y,H-1B,148803.0,148803.0,software engineer,1200,,,High,High
11,21,I-200-14314-179631,certified,11/12/2014,11/18/2014,FACEBOOK INC,148158.0,year,170000.0,year,DATA SCIENTIST,MENLO PARK,,,,,,15-1111,COMPUTER AND INFORMATION RESEARCH SCIENTISTS,California,CA,94025,y,H-1B,148158.0,170000.0,data scientist,1227,,,High,High
12,22,I-200-13056-661036,certified,2/25/2013,3/1/2013,APPLE INC,147472.0,year,170000.0,year,PRINCIPAL SOFTWARE ENGR/DATA SCIENTIST-GEO SEARCH,CUPERTINO,,,,,,15-1133,"Software Developers, Systems Software",California,CA,,y,H-1B,147472.0,170000.0,data scientist,1278,,,High,High
13,23,I-200-14255-151713,certified,9/12/2014,9/18/2014,FACEBOOK INC,147463.0,year,170000.0,year,DATA SCIENTIST,MENLO PARK,,,,,,15-1199,"Computer Occupations, All Other",California,CA,,y,H-1B,147463.0,170000.0,data scientist,1324,,,High,High
14,24,I-200-15068-293127,certified,3/10/2015,3/19/2015,FACEBOOK INC,146976.0,year,170000.0,year,"DATA SCIENTIST, ECONOMIC RESEARCH",MENLO PARK,,,,,,19-3011,ECONOMISTS,California,CA,94025,y,H-1B,146976.0,170000.0,data scientist,1338,,,High,High
15,25,I-200-15069-634984,certified,3/12/2015,3/23/2015,FACEBOOK INC,146976.0,year,149575.0,year,DATA SCIENTIST,MENLO PARK,,,,,,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",California,CA,94025,y,H-1B,146976.0,149575.0,data scientist,1339,,,High,High
16,26,I-200-14065-803417,certified,3/6/2014,3/12/2014,ADARA MEDIA INC,144206.0,year,185000.0,year,DIRECTOR DATA SCIENTIST,MOUNTAIN VIEW,,,,,,15-1133,"Software Developers, Systems Software",California,CA,,y,H-1B,144206.0,185000.0,data scientist,1489,,Average,,Average
17,28,I-200-14035-916133,certified,2/5/2014,2/12/2014,SECURITYX INC,141898.0,year,150000.0,year,SECURITY DATA SCIENTIST,PALO ALTO,,,,,,15-1111,Computer and Information Research Scientists,California,CA,,y,H-1B,141898.0,150000.0,data scientist,1679,,Average,,Average
18,29,I-200-14055-276615,certified,2/25/2014,3/3/2014,E8 SECURITY INC,141898.0,year,150000.0,year,SECURITY DATA SCIENTIST,PALO ALTO,,,,,,15-1111,Computer and Information Research Scientists,California,CA,,y,H-1B,141898.0,150000.0,data scientist,1680,,Average,,Average
19,30,I-200-14057-749340,certified,3/20/2014,3/26/2014,MACHINE ZONE INC,141898.0,year,141898.0,year,DATA SCIENTIST,PALO ALTO,,,,,,15-1111,Computer and Information Research Scientists,California,CA,,y,H-1B,141898.0,141898.0,data scientist,1681,,Average,,Average
20,31,I-200-14133-404255,certified,5/14/2014,5/20/2014,SAMSUNG SEMICONDUCTOR INC,141856.0,year,156000.0,year,"MANAGER, BIG DATA SOFTWARE ENGINEER",MENLO PARK,,,,,,11-3021,Computer and Information Systems Managers,California,CA,,y,H-1B,141856.0,156000.0,software engineer,1684,,Average,,Average
21,32,I-200-14188-172925,certified,7/7/2014,7/11/2014,FACEBOOK INC,141273.0,year,145000.0,year,DATA SCIENTIST,MENLO PARK,,,,,,15-1111,Computer and Information Research Scientists,California,CA,,y,H-1B,141273.0,145000.0,data scientist,1689,,Average,,Average
22,33,I-200-14255-768889,certified,9/12/2014,9/18/2014,ADARA MEDIA INC,140878.0,year,178000.0,year,SR. DATA SCIENTIST- OPTIMIZATION,MOUNTAIN VIEW,,,,,,15-2031,Operations Research Analysts,California,CA,,y,H-1B,140878.0,178000.0,data scientist,1705,,Average,,Average
23,34,I-200-14183-558990,certified,7/9/2014,7/15/2014,KOHL'S DEPARTMENT STORES INC,140878.0,year,150000.0,year,SR. SOFTWARE ENGINEER (BIG DATA),MILPITAS,,,,,,15-2031,Operations Research Analysts,California,CA,,y,H-1B,140878.0,150000.0,software engineer,1706,,Average,,Average
24,35,I-200-14295-406124,certified,10/22/2014,10/28/2014,APPLE INC,140878.0,year,145000.0,year,DATA SCIENTIST - ITUNES,CUPERTINO,,,,,,15-2031,OPERATIONS RESEARCH ANALYSTS,California,CA,95014,y,H-1B,140878.0,145000.0,data scientist,1707,,Average,,Average
25,36,I-200-14192-087399,certified,7/11/2014,7/17/2014,APPLE INC,140878.0,year,145000.0,year,"DATA SCIENTIST, MAPS POI",CUPERTINO,,,,,,15-2031,Operations Research Analysts,California,CA,,y,H-1B,140878.0,145000.0,data scientist,1708,,Average,,Average
26,37,I-200-14254-169830,certified,9/30/2014,10/6/2014,MICROSOFT CORPORATION,139610.0,year,154742.0,year,SENIOR DATA SCIENTIST LEAD,BELLEVUE,,,,,,15-1111,COMPUTER AND INFORMATION RESEARCH SCIENTISTS,Washington,WA,98004,y,H-1B,139610.0,154742.0,data scientist,1743,,Average,,Average
27,38,I-200-14282-553973,certified,10/9/2014,10/16/2014,GROUPON INC,139610.0,year,146000.0,year,STAFF DATA SCIENTIST,SEATTLE,,,,,,15-1111,COMPUTER AND INFORMATION RESEARCH SCIENTISTS,Washington,WA,98104,y,H-1B,139610.0,146000.0,data scientist,1744,,Average,,Average
28,39,I-200-12020-721928,certified-withdrawn,1/23/2012,11/20/2012,GROUPON INC,139256.0,year,140000.0,year,DATA SCIENTIST,PALO ALTO,,,,,,15-1111,Computer and Information Research Scientists,California,CA,,y,H-1B,139256.0,140000.0,data scientist,1764,,Average,,Average
29,40,I-200-13352-597814,certified,12/20/2013,12/27/2013,RACKSPACE US INC,137592.0,year,155000.0,year,DATA SCIENTIST IV,SAN FRANCISCO,,,,,,15-1143,Computer Network Architects,California,CA,,y,H-1B,137592.0,155000.0,data scientist,1796,,Average,,Average
30,41,I-200-15006-550016,certified,1/6/2015,1/12/2015,SALESFORCECOM INC,136573.0,year,180000.0,year,SENIOR DATA SCIENTIST,SAN FRANCISCO,,,,,,15-2041,STATISTICIANS,California,CA,94105,y,H-1B,136573.0,180000.0,data scientist,1821,,Average,,Average
31,42,I-200-14301-191318,certified,10/29/2014,11/4/2014,GUIDEWIRE SOFTWARE INC,136573.0,year,136573.0,year,DATA SCIENTIST,FOSTER CITY,,,,,,15-2041,STATISTICIANS,California,CA,94404,y,H-1B,136573.0,136573.0,data scientist,1825,,Average,,Average
32,43,I-200-14307-834170,certified,11/4/2014,11/10/2014,GUIDEWIRE SOFTWARE INC,136573.0,year,136573.0,year,DATA SCIENTIST,FOSTER CITY,,,,,,15-2041,STATISTICIANS,California,CA,94404,y,H-1B,136573.0,136573.0,data scientist,1826,,Average,,Average
33,44,I-200-15063-996397,certified,3/4/2015,3/10/2015,RADIUS INTELLIGENCE INC,136573.0,year,136573.0,year,DATA SCIENTIST,SAN FRANCISCO,,,,,,15-2041,STATISTICIANS,California,CA,94104,y,H-1B,136573.0,136573.0,data scientist,1827,,Average,,Average
34,45,I-200-13065-829381,certified,6/27/2013,7/3/2013,FIREEYE INC,136448.0,year,136448.0,year,SENIOR DATA ANALYST,MILPITAS,,,,,,15-1179,"Information Security Analysts, Web Developers, and",California,CA,,y,H-1B,136448.0,136448.0,data analyst,1829,,Average,,Average
35,46,I-200-14071-673921,certified,3/12/2014,3/18/2014,GUAVUS INC,136074.0,year,170000.0,year,DATA SCIENTIST,SAN MATEO,,,,,,15-1111,Computer and Information Research Scientists,California,CA,,y,H-1B,136074.0,170000.0,data scientist,1833,,Average,,Average
36,47,I-200-14123-696991,certified,5/7/2014,5/13/2014,STAPLES INC,136074.0,year,165000.0,year,SENIOR DATA SCIENTIST,SAN MATEO,,,,,,15-1111,Computer and Information Research Scientists,California,CA,,y,H-1B,136074.0,165000.0,data scientist,1834,,Average,,Average
37,48,I-200-13337-487325,certified,12/3/2013,12/9/2013,TWITTER INC,136074.0,year,160000.0,year,SENIOR DATA SCIENTIST,SAN FRANCISCO,,,,,,15-1111,Computer and Information Research Scientists,California,CA,,y,H-1B,136074.0,160000.0,data scientist,1835,,Average,,Average
38,49,I-200-14024-021491,certified,1/24/2014,1/30/2014,YUME INC,136074.0,year,155000.0,year,SR. DATA SCIENTIST,REDWOOD CITY,,,,,,15-1111,Computer and Information Research Scientists,California,CA,,y,H-1B,136074.0,155000.0,data scientist,1837,,Average,,Average
39,50,I-200-14072-767044,certified,3/17/2014,3/21/2014,C3 INC,136074.0,year,140000.0,year,SENIOR DATA SCIENTIST,REDWOOD CITY,,,,,,15-1111,Computer and Information Research Scientists,California,CA,,y,H-1B,136074.0,140000.0,data scientist,1838,,Average,,Average
40,51,I-200-14057-223497,certified,2/27/2014,3/5/2014,PINTEREST INC,136074.0,year,137000.0,year,SOFTWARE ENGINEER (DATA MINING RESEARCH),SAN FRANCISCO,,,,,,15-1111,Computer and Information Research Scientists,California,CA,,y,H-1B,136074.0,137000.0,software engineer,1839,,Average,,Average
41,52,I-200-13051-255025,certified,2/21/2013,2/27/2013,APPLE INC,135429.0,year,145000.0,year,SOFTWARE ENGINEER/DATA SCIENTIST-GEO TEAM,CUPERTINO,,,,,,15-1111,Computer and Information Research Scientists,California,CA,,y,H-1B,135429.0,145000.0,software engineer,1900,,Average,,Average
42,53,I-200-13050-751279,certified,3/7/2013,3/13/2013,PAYPAL INC,135429.0,year,140000.0,year,DATA SCIENTIST,SAN JOSE,,,,,,15-1111,Computer and Information Research Scientists,California,CA,,y,H-1B,135429.0,140000.0,data scientist,1901,,Average,,Average
43,54,I-200-13063-670917,certified-withdrawn,3/5/2013,4/24/2013,LINKEDIN CORPORATION,135429.0,year,135429.0,year,SENIOR DATA SCIENTIST,MOUNTAIN VIEW,,,,,,15-1111,Computer and Information Research Scientists,California,CA,,y,H-1B,135429.0,135429.0,data scientist,1903,,Average,,Average
44,55,I-200-13078-562494,certified,3/20/2013,3/26/2013,XACTLY CORPORATION,65.11,hour,65.11,hour,DATA SCIENTIST,SAN JOSE,,,,,,15-1111,Computer and Information Research Scientists,California,CA,,n,H-1B,135428.8,135428.8,data scientist,1904,,Average,,Average
45,56,I-200-14351-307559,certified,12/17/2014,12/23/2014,SYMANTEC CORPORATION,134837.0,year,134837.0,year,PRINCIPAL DATA SCIENTIST,MOUNTAIN VIEW,,,,,,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",California,CA,94043,y,H-1B,134837.0,134837.0,data scientist,1942,,Average,,Average
46,57,I-200-14351-390131,certified,12/17/2014,12/23/2014,SYMANTEC CORPORATION,134837.0,year,134837.0,year,PRINCIPAL DATA SCIENTIST,MOUNTAIN VIEW,,,,,,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",California,CA,94043,y,H-1B,134837.0,134837.0,data scientist,1943,,Average,,Average
47,58,I-200-14287-093425,certified,10/15/2014,10/21/2014,QUID INC,134638.0,year,180000.0,year,SENIOR SOFTWARE ENGINEER-DATA ANALYTICS,SAN FRANCISCO,,,,,,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",California,CA,94105,y,H-1B,134638.0,180000.0,software engineer,1967,,Average,,Average
48,59,I-200-14296-158778,certified,11/5/2014,11/12/2014,QUID INC,134638.0,year,180000.0,year,SENIOR SOFTWARE ENGINEER - DATA ANALYTICS,SAN FRANCISCO,,,,,,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",California,CA,94105,y,H-1B,134638.0,180000.0,software engineer,1969,,Average,,Average
49,60,I-200-14287-304104,certified,10/16/2014,10/22/2014,STITCH FIX INC,134638.0,year,160000.0,year,"SOFTWARE ENGINEER, DATA SCIENCE PLATFORM",SAN FRANCISCO,,,,,,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",California,CA,94103,y,H-1B,134638.0,160000.0,software engineer,2021,,Average,,Average
50,61,I-200-14352-350906,certified,12/18/2014,12/24/2014,TWILIO INC,134638.0,year,135000.0,year,DATA SOFTWARE ENGINEER,SAN FRANCISCO,,,,,,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",California,CA,94107,y,H-1B,134638.0,135000.0,software engineer,2175,,Average,,Average
51,64,I-200-14097-908639,certified,4/14/2014,4/21/2014,APPLE INC,134534.0,year,135000.0,year,DATA SCIENTIST,CUPERTINO,,,,,,15-1132,"Software Developers, Applications",California,CA,,y,H-1B,134534.0,135000.0,data scientist,2680,,Average,,Average
52,65,I-200-14338-709860,certified,12/5/2014,12/11/2014,TWITTER INC,134472.0,year,153500.0,year,SENIOR DATA SCIENTIST,SAN FRANCISCO,,,,,,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",California,CA,94103,y,H-1B,134472.0,153500.0,data scientist,2825,,Average,,Average
53,66,I-200-14196-460408,certified,7/18/2014,7/24/2014,SALESFORCECOM INC,134472.0,year,147000.0,year,"SENIOR SOFTWARE ENGINEER, DATA CENTER AUTOMATION",SAN FRANCISCO,,,,,,15-1133,"Software Developers, Systems Software",California,CA,,y,H-1B,134472.0,147000.0,software engineer,2831,,Average,,Average
54,67,I-200-15057-018201,certified,3/6/2015,3/12/2015,AT&T SERVICES INC,134472.0,year,140000.0,year,SENIOR-DATA SCIENTIST,SAN FRANCISCO,,,,,,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",California,CA,94108,y,H-1B,134472.0,140000.0,data scientist,2841,,Average,,Average
55,68,I-200-14316-767998,certified,11/13/2014,11/19/2014,BAZAARVOICE INC,134472.0,year,135000.0,year,SENIOR BIG DATA SOFTWARE ENGINEER,SAN FRANCISCO,,,,,,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",California,CA,94104,y,H-1B,134472.0,135000.0,software engineer,2847,,Average,,Average
56,69,I-200-15030-314463,certified,2/10/2015,2/17/2015,TURN INC,134472.0,year,134472.0,year,"LEAD SOFTWARE ENGINEER, SCALABLE DATA PLATFORM",REDWOOD CITY,,,,,,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",California,CA,94063,y,H-1B,134472.0,134472.0,software engineer,2862,,Average,,Average
57,70,I-200-15043-311843,certified,2/17/2015,2/23/2015,UBER TECHNOLOGIES INC,134472.0,year,134472.0,year,SR. SOFTWARE ENGINEER - DATA ENGINEERING - VISUALIZATION,SAN FRANCISCO,,,,,,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",California,CA,94103,y,H-1B,134472.0,134472.0,software engineer,2865,,Average,,Average
58,71,I-200-14254-688373,certified,9/12/2014,9/18/2014,IMATCHATIVE INC,134472.0,year,134472.0,year,SENIOR DATA SOFTWARE ENGINEER,SAN FRANCISCO,,,,,,15-1133,"Software Developers, Systems Software",California,CA,,y,H-1B,134472.0,134472.0,software engineer,2881,,Average,,Average
59,72,I-200-14300-466223,certified,10/27/2014,10/31/2014,WORKDAY INC,133515.0,year,160000.0,year,SR. DATA SCIENTIST,SAN FRANCISCO,,,,,,15-1111,COMPUTER AND INFORMATION RESEARCH SCIENTISTS,California,CA,94105,y,H-1B,133515.0,160000.0,data scientist,2982,,Average,,Average
60,73,I-200-15079-323052,certified,3/24/2015,3/30/2015,SUMO LOGIC INC,133515.0,year,160000.0,year,DATA SCIENTIST,REDWOOD CITY,,,,,,15-1111,COMPUTER AND INFORMATION RESEARCH SCIENTISTS,California,CA,94063,y,H-1B,133515.0,160000.0,data scientist,2983,,Average,,Average
61,74,I-200-14323-523348,certified,11/24/2014,12/1/2014,FV USA LLC,133515.0,year,140000.0,year,SENIOR DATA SCIENTIST,MENLO PARK,,,,,,15-1111,COMPUTER AND INFORMATION RESEARCH SCIENTISTS,California,CA,94025,y,H-1B,133515.0,140000.0,data scientist,2985,,Average,,Average
62,75,I-200-15036-055498,certified,2/6/2015,2/13/2015,VIGLINK INC,133515.0,year,133515.0,year,SENIOR DATA SCIENTIST,SAN FRANCISCO,,,,,,15-1111,COMPUTER AND INFORMATION RESEARCH SCIENTISTS,California,CA,94104,y,H-1B,133515.0,133515.0,data scientist,2987,,Average,,Average
63,76,I-200-15036-760655,certified,2/9/2015,2/14/2015,VIGLINK INC,133515.0,year,133515.0,year,SENIOR DATA SCIENTIST,SAN FRANCISCO,,,,,,15-1111,COMPUTER AND INFORMATION RESEARCH SCIENTISTS,California,CA,94104,y,H-1B,133515.0,133515.0,data scientist,2988,,Average,,Average
64,77,I-200-13093-867683,certified,4/3/2013,4/9/2013,LINKEDIN CORPORATION,133328.0,year,133328.0,year,SENIOR SOFTWARE ENGINEER (SR. DATA SERVICES ENGINE,MOUNTAIN VIEW,,,,,,15-1132,"Software Developers, Applications",California,CA,,y,H-1B,133328.0,133328.0,software engineer,3278,,Average,,Average
65,78,I-200-14324-271027,certified,11/20/2014,11/26/2014,AYASDI INC,133099.0,year,155000.0,year,DATA SCIENTIST,MENLO PARK,,,,,,15-1111,COMPUTER AND INFORMATION RESEARCH SCIENTISTS,California,CA,94025,y,H-1B,133099.0,155000.0,data scientist,3310,,Average,,Average
66,79,I-200-14308-286830,denied,11/5/2014,11/10/2014,VIPSHOP US,133099.0,year,150000.0,year,DATA SCIENTIST,SAN JOSE,,,,,,15-1111,COMPUTER AND INFORMATION RESEARCH SCIENTISTS,California,CA,95131,y,H-1B,133099.0,150000.0,data scientist,3311,,Average,,Average
67,80,I-200-14314-304114,certified,11/10/2014,11/17/2014,VIPSHOP US,133099.0,year,150000.0,year,DATA SCIENTIST,SAN JOSE,,,,,,15-1111,COMPUTER AND INFORMATION RESEARCH SCIENTISTS,California,CA,95131,y,H-1B,133099.0,150000.0,data scientist,3312,,Average,,Average
68,81,I-200-14268-179537,certified,9/30/2014,10/6/2014,QUANTIPLY CORPORATION,133099.0,year,140000.0,year,DATA SCIENTIST,SAN JOSE,,,,,,15-1111,COMPUTER AND INFORMATION RESEARCH SCIENTISTS,California,CA,95135,y,H-1B,133099.0,140000.0,data scientist,3313,,Average,,Average
69,82,I-200-14283-167083,certified,10/10/2014,10/17/2014,QUANTIPLY CORPORATION,133099.0,year,140000.0,year,DATA SCIENTIST,PALO ALTO,,,,,,15-1111,COMPUTER AND INFORMATION RESEARCH SCIENTISTS,California,CA,94304,y,H-1B,133099.0,140000.0,data scientist,3314,,Average,,Average
70,83,I-200-14338-031121,certified,12/5/2014,12/11/2014,APTIMUS INC AN APOLLO EDUCATION GROUP INC COMPANY,133099.0,year,137385.0,year,PRINCIPAL SOLUTION ARCHITECT/DATA SCIENTIST,SAN JOSE,,,,,,15-1111,COMPUTER AND INFORMATION RESEARCH SCIENTISTS,California,CA,95134,y,H-1B,133099.0,137385.0,data scientist,3315,,Average,,Average
71,84,I-200-14218-288568,certified,8/7/2014,8/13/2014,GROUPON INC,133099.0,year,135000.0,year,"DATA SCIENTIST, SEO ENGINEERING",PALO ALTO,,,,,,15-1111,Computer and Information Research Scientists,California,CA,,y,H-1B,133099.0,135000.0,data scientist,3316,,Average,,Average
72,85,I-200-15021-473918,certified,1/22/2015,1/28/2015,GROUPON INC,133099.0,year,134000.0,year,DATA SCIENTIST,PALO ALTO,,,,,,15-1111,COMPUTER AND INFORMATION RESEARCH SCIENTISTS,California,CA,94306,y,H-1B,133099.0,134000.0,data scientist,3317,,Average,,Average
73,86,I-200-14245-353326,certified,9/4/2014,9/10/2014,MACHINE ZONE INC,133099.0,year,133099.0,year,DATA SCIENTIST,PALO ALTO,,,,,,15-1111,Computer and Information Research Scientists,California,CA,,y,H-1B,133099.0,133099.0,data scientist,3318,,Average,,Average
74,87,I-203-12272-523782,certified,9/28/2012,10/4/2012,GUAVUS INC,133058.0,year,160000.0,year,DATA SCIENTIST,SAN MATEO,,,,,,15-1111,Computer and Information Research Scientists,California,CA,,y,E-3 Australian,133058.0,160000.0,data scientist,3340,,Average,,Average
75,88,I-200-14176-897805,certified,6/25/2014,7/1/2014,VMWARE INC,132912.0,year,140000.0,year,"SENIOR MANAGER, DATA SCIENTIST",AUSTIN,,,,,,11-3021,Computer and Information Systems Managers,Texas,TX,,y,H-1B,132912.0,140000.0,data scientist,3345,,Average,,Average
76,89,I-200-15058-197311,certified,3/2/2015,3/6/2015,MERCARI INC,132579.0,year,140000.0,year,DATA SCIENTIST,SAN FRANCISCO,,,,,,15-2021,MATHEMATICIANS,California,CA,94104,y,H-1B,132579.0,140000.0,data scientist,3394,,Average,,Average
77,90,I-200-13203-047855,certified,7/24/2013,7/30/2013,GENERAL ELECTRIC COMPANY - GE GLOBAL RESEARCH CENT,132371.0,year,140000.0,year,LEAD DATA SCIENTIST,SAN RAMON,,,,,,15-1111,Computer and Information Research Scientists,California,CA,,y,H-1B,132371.0,140000.0,data scientist,3416,,Average,,Average
78,91,I-200-14115-860953,certified,4/25/2014,5/1/2014,SAMSUNG SEMICONDUCTOR INC,132080.0,year,156000.0,year,SENIOR BIG DATA SOFTWARE ENGINEER,MENLO PARK,,,,,,15-1132,"Software Developers, Applications",California,CA,,y,H-1B,132080.0,156000.0,software engineer,3500,,Average,,Average
79,92,I-200-14100-887084,certified,4/11/2014,4/18/2014,QUANTCAST CORPORATION,63.5,hour,65.0,hour,SOFTWARE ENGINEER- BIG DATA PLATFORMS,SAN FRANCISCO,,,,,,15-1132,"Software Developers, Applications",California,CA,,n,H-1B,132080.0,135200.0,software engineer,3653,,Average,,Average
80,93,I-200-15072-063014,withdrawn,3/13/2015,3/16/2015,ELANCE-ODESK INC,132038.0,year,160000.0,year,DATA SCIENTIST,MOUNTAIN VIEW,,,,,,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",California,CA,94043-4020,y,H-1B,132038.0,160000.0,data scientist,3798,,Average,,Average
81,94,I-200-15082-485446,certified,3/23/2015,3/27/2015,ELANCE-ODESK INC,132038.0,year,160000.0,year,DATA SCIENTIST,MOUNTAIN VIEW,,,,,,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",California,CA,94043-4020,y,H-1B,132038.0,160000.0,data scientist,3799,,Average,,Average
82,95,I-200-14198-221523,withdrawn,7/17/2014,7/18/2014,AT&T SERVICES INC,132038.0,year,140000.0,year,SENIOR BIG DATA SCIENTIST,PALO ALTO,,,,,,15-1133,"Software Developers, Systems Software",California,CA,,y,H-1B,132038.0,140000.0,data scientist,3843,,Average,,Average
83,96,I-200-14213-783502,certified,8/4/2014,8/8/2014,APPLE INC,132038.0,year,140000.0,year,SIRI DATA SCIENTIST,CUPERTINO,,,,,,15-1133,"Software Developers, Systems Software",California,CA,,y,H-1B,132038.0,140000.0,data scientist,3844,,Average,,Average
84,97,I-200-14279-006190,certified,10/9/2014,10/16/2014,METAMIND INC,132038.0,year,135000.0,year,SENIOR DATA SCIENTIST,PALO ALTO,,,,,,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",California,CA,94301,y,H-1B,132038.0,135000.0,data scientist,3870,,Average,,Average
